idMenu,nombreMenu,nivelMenu,activoMenu,posicionMenu,spanclassMenu,Pagina_idPagina,Menu_idMenu
1,Inicio,0,1,1,"glyphicon glyphicon-home",1,NULL
2,Informes,0,0,2,"glyphicon glyphicon-file",2,NULL
3,AdministraciÃ³n,0,1,3,"glyphicon glyphicon-wrench",3,NULL
4,Salir,0,1,4,"glyphicon glyphicon-off",4,NULL
5,Mantenedores,1,1,1,,NULL,3
6,Usuarios,1,1,2,"glyphicon glyphicon-chevron-right",5,3
7,Roles,1,1,3,"glyphicon glyphicon-chevron-right",6,3
8,"Permisos por rol",1,1,4,"glyphicon glyphicon-chevron-right",7,3
9,"Tipos de contacto",1,1,5,"glyphicon glyphicon-chevron-right",8,3
10,Materias,1,1,6,"glyphicon glyphicon-chevron-right",9,3
11,"Tipos de materia",1,1,7,"glyphicon glyphicon-chevron-right",10,3
12,"Tarifas por materia",1,1,8,"glyphicon glyphicon-chevron-right",11,3
13,"Estados de factura",1,1,9,"glyphicon glyphicon-chevron-right",12,3
14,"Tipos de moneda",1,1,10,"glyphicon glyphicon-chevron-right",13,3
15,"Tipos de abono",1,1,11,"glyphicon glyphicon-chevron-right",14,3
16,"Tipo de gasto",1,1,12,"glyphicon glyphicon-chevron-right",15,3
17,"Feriados legales",1,1,13,"glyphicon glyphicon-chevron-right",16,3
18,ParÃ¡metros,1,1,14,,NULL,3
19,PaÃ­ses,1,1,15,"glyphicon glyphicon-chevron-right",17,3
20,Regiones,1,1,16,"glyphicon glyphicon-chevron-right",18,3
21,Comunas,1,1,17,"glyphicon glyphicon-chevron-right",19,3
22,Labels,1,1,18,"glyphicon glyphicon-chevron-right",20,3
23,MenÃº,1,1,19,"glyphicon glyphicon-chevron-right",21,3
24,PÃ¡ginas,1,1,20,"glyphicon glyphicon-chevron-right",22,3
25,"ParÃ¡metros Globales",1,1,21,"glyphicon glyphicon-chevron-right",23,3
26,"InformaciÃ³n del Sistema",1,1,23,"glyphicon glyphicon-chevron-right",NULL,3
27,VersiÃ³n,1,1,24,"glyphicon glyphicon-chevron-right",24,3
28,Licencia,1,1,25,"glyphicon glyphicon-chevron-right",25,3
29,"Mapa de pÃ¡ginas",1,1,22,"glyphicon glyphicon-chevron-right",66,3
