idPagina,urlPagina,nombrePagina,descripcionPagina,activoPagina
1,index.php,index.php,"Inicio (MenÃº Superior)",1
2,informes.php,informes.php,"Informes (MenÃº Superior)",1
3,admin.php,admin.php,"AdministraciÃ³n (MenÃº Superior)",1
4,login.php,login.php,"Login (MenÃº Superior)",1
5,#usr_mod,pages_admin/usr_mod.php,"Lista de Usuarios",1
6,#roles_mod,pages_admin/roles_mod.php,"Lista de Roles",1
7,#roles_perm_mod,pages_admin/roles_perm_mod.php,"Permisos por rol",1
8,#cto_tipo_mod,pages_admin/cto_tipo_mod.php,"Lista de Tipos de contacto",1
9,#mat_mod,pages_admin/mat_mod.php,"Lista de Materias",1
10,#mat_tipo_mod,pages_admin/mat_tipo_mod.php,"Lista de Tipos de materia",1
11,#mat_tar_mod,pages_admin/mat_tar_mod.php,"Lista de Tarifas por materia",1
12,#fact_estdo_mod,pages_admin/fact_estdo_mod.php,"Lista de Estados de factura",1
13,#mon_mod,pages_admin/mon_mod.php,"Lista de Tipos de moneda",1
14,#tipo_abono_mod,pages_admin/tipo_abono_mod.php,"Lista de Tipos de abono",1
15,#tipo_gasto_mod,pages_admin/tipo_gasto_mod.php,"Lista de Tipos de gasto",1
16,#feriados_mod,pages_admin/feriados_mod.php,"Lista de Feriados legales",1
17,#pais_mod,pages_admin/pais_mod.php,"Lista de PaÃ­ses",1
18,#region_mod,pages_admin/region_mod.php,"Lista de Regiones",1
19,#comuna_mod,pages_admin/comuna_mod.php,"Lista de Comunas",1
20,#label_mod,pages_admin/label_mod.php,"Lista de Labels",1
21,#menu_mod,pages_admin/menu_mod.php,"Lista de Items de menÃº",1
22,#paginas_mod,pages_admin/paginas_mod.php,"Lista de PÃ¡ginas del sistema",1
23,#param_mod,pages_admin/param_mod.php,"Lista de ParÃ¡metros globales",1
24,#version,pages_admin/version.php,"VersiÃ³n del sistema",1
25,#licencia,pages_admin/licencia.php,"Licencia (EULA)",1
26,act_desact.php,pages_admin/act_desact.php,"Activar o desactivar registro de una grilla",1
27,comuna_crear.php,pages_admin/comuna_crear.php,"CreaciÃ³n de Comuna",1
28,comuna_editar.php,pages_admin/comuna_editar.php,"EdiciÃ³n de Comuna",1
29,cto_tipo_crear.php,pages_admin/cto_tipo_crear.php,"CreaciÃ³n de Tipo contacto",1
30,cto_tipo_editar.php,pages_admin/cto_tipo_editar.php,"EdiciÃ³n de Tipo contacto",1
31,fact_estdo_crear.php,pages_admin/fact_estdo_crear.php,"CreaciÃ³n de Estados factura",1
32,fact_estdo_editar.php,pages_admin/fact_estdo_editar.php,"EdiciÃ³n de Estados factura",1
33,feriados_crear.php,pages_admin/feriados_crear.php,"CreaciÃ³n de Feriado legal",1
34,feriados_editar.php,pages_admin/feriados_editar.php,"EdiciÃ³n de Feriado legal",1
35,label_crear.php,pages_admin/label_crear.php,"CreaciÃ³n de Label",1
36,label_editar.php,pages_admin/label_editar.php,"EdiciÃ³n de Label",1
